1 1:2 2:50 3:12500 4:98
1 1:4 2:8 3:2000 4:46
-1 1:2 2:4 3:1000 4:26
1 1:4 2:8 3:2000 4:48
1 1:2 2:2 3:500 4:10
-1 1:4 2:5 3:1250 4:28
-1 1:2 2:12 3:3000 4:95
-1 1:2 2:2 3:500 4:10
-1 1:4 2:6 3:1500 4:35
-1 1:2 2:11 3:2750 4:88
-1 1:2 2:3 3:750 4:19
-1 1:2 2:5 3:1250 4:37
-1 1:2 2:12 3:3000 4:98
-1 1:9 2:5 3:1250 4:19
-1 1:2 2:2 3:500 4:11
-1 1:2 2:9 3:2250 4:74
-1 1:5 2:14 3:3500 4:86
-1 1:4 2:3 3:750 4:16
-1 1:4 2:3 3:750 4:16
1 1:4 2:2 3:500 4:9
1 1:4 2:3 3:750 4:16
-1 1:6 2:3 3:750 4:14
-1 1:2 2:2 3:500 4:11
1 1:2 2:2 3:500 4:11
-1 1:2 2:2 3:500 4:11
1 1:2 2:7 3:1750 4:58
-1 1:4 2:6 3:1500 4:39
-1 1:4 2:11 3:2750 4:78
1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
1 1:2 2:1 3:250 4:2
1 1:2 2:1 3:250 4:2
1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:11 2:10 3:2500 4:35
1 1:11 2:4 3:1000 4:16
1 1:4 2:5 3:1250 4:33
1 1:4 2:6 3:1500 4:41
-1 1:2 2:3 3:750 4:22
1 1:4 2:4 3:1000 4:26
-1 1:10 2:4 3:1000 4:16
-1 1:2 2:4 3:1000 4:35
-1 1:4 2:12 3:3000 4:88
-1 1:13 2:8 3:2000 4:26
-1 1:11 2:9 3:2250 4:33
-1 1:4 2:5 3:1250 4:34
-1 1:4 2:4 3:1000 4:26
-1 1:8 2:15 3:3750 4:77
1 1:4 2:5 3:1250 4:35
-1 1:4 2:7 3:1750 4:52
-1 1:4 2:7 3:1750 4:52
-1 1:2 2:4 3:1000 4:35
-1 1:11 2:11 3:2750 4:42
-1 1:2 2:2 3:500 4:14
1 1:2 2:5 3:1250 4:47
1 1:9 2:8 3:2000 4:38
-1 1:4 2:6 3:1500 4:47
-1 1:11 2:7 3:1750 4:29
-1 1:9 2:9 3:2250 4:45
-1 1:4 2:6 3:1500 4:52
-1 1:4 2:7 3:1750 4:58
1 1:6 2:2 3:500 4:11
-1 1:4 2:7 3:1750 4:58
-1 1:11 2:9 3:2250 4:38
-1 1:11 2:6 3:1500 4:26
-1 1:2 2:2 3:500 4:16
-1 1:2 2:7 3:1750 4:76
-1 1:11 2:6 3:1500 4:27
-1 1:11 2:3 3:750 4:14
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:3 3:750 4:24
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:10 2:8 3:2000 4:39
-1 1:14 2:7 3:1750 4:26
-1 1:8 2:10 3:2500 4:63
-1 1:11 2:3 3:750 4:15
-1 1:4 2:2 3:500 4:14
-1 1:2 2:4 3:1000 4:43
-1 1:8 2:9 3:2250 4:58
1 1:8 2:8 3:2000 4:52
-1 1:11 2:22 3:5500 4:98
1 1:4 2:3 3:750 4:25
1 1:11 2:17 3:4250 4:79
-1 1:9 2:2 3:500 4:11
-1 1:4 2:5 3:1250 4:46
-1 1:11 2:12 3:3000 4:58
-1 1:7 2:12 3:3000 4:86
-1 1:11 2:2 3:500 4:11
-1 1:11 2:2 3:500 4:11
-1 1:11 2:2 3:500 4:11
-1 1:2 2:6 3:1500 4:75
1 1:11 2:8 3:2000 4:41
1 1:11 2:3 3:750 4:16
-1 1:12 2:13 3:3250 4:59
-1 1:2 2:3 3:750 4:35
-1 1:16 2:8 3:2000 4:28
-1 1:11 2:7 3:1750 4:37
-1 1:4 2:3 3:750 4:28
-1 1:12 2:12 3:3000 4:58
-1 1:4 2:4 3:1000 4:41
1 1:11 2:14 3:3500 4:73
-1 1:2 2:2 3:500 4:23
1 1:2 2:3 3:750 4:38
-1 1:4 2:5 3:1250 4:58
1 1:4 2:4 3:1000 4:43
-1 1:3 2:2 3:500 4:23
-1 1:11 2:8 3:2000 4:46
-1 1:4 2:7 3:1750 4:82
-1 1:13 2:4 3:1000 4:21
-1 1:16 2:11 3:2750 4:40
-1 1:16 2:7 3:1750 4:28
-1 1:7 2:2 3:500 4:16
-1 1:4 2:5 3:1250 4:58
-1 1:4 2:5 3:1250 4:58
-1 1:4 2:4 3:1000 4:46
-1 1:14 2:13 3:3250 4:57
-1 1:4 2:3 3:750 4:34
-1 1:14 2:18 3:4500 4:78
-1 1:11 2:8 3:2000 4:48
-1 1:14 2:16 3:4000 4:70
1 1:14 2:4 3:1000 4:22
-1 1:14 2:5 3:1250 4:26
-1 1:8 2:2 3:500 4:16
-1 1:11 2:5 3:1250 4:33
-1 1:11 2:2 3:500 4:14
-1 1:4 2:2 3:500 4:23
1 1:9 2:2 3:500 4:16
1 1:14 2:5 3:1250 4:28
1 1:14 2:3 3:750 4:19
1 1:14 2:4 3:1000 4:23
-1 1:16 2:12 3:3000 4:50
-1 1:11 2:4 3:1000 4:28
-1 1:11 2:5 3:1250 4:35
-1 1:11 2:5 3:1250 4:35
-1 1:2 2:4 3:1000 4:70
-1 1:14 2:5 3:1250 4:28
-1 1:14 2:2 3:500 4:14
-1 1:14 2:2 3:500 4:14
-1 1:14 2:2 3:500 4:14
-1 1:14 2:2 3:500 4:14
-1 1:14 2:2 3:500 4:14
-1 1:14 2:2 3:500 4:14
-1 1:2 2:3 3:750 4:52
-1 1:14 2:6 3:1500 4:34
1 1:11 2:5 3:1250 4:37
-1 1:4 2:5 3:1250 4:74
-1 1:11 2:3 3:750 4:23
-1 1:16 2:4 3:1000 4:23
-1 1:16 2:3 3:750 4:19
-1 1:11 2:5 3:1250 4:38
-1 1:11 2:2 3:500 4:16
-1 1:12 2:9 3:2250 4:60
-1 1:9 2:1 3:250 4:9
-1 1:9 2:1 3:250 4:9
-1 1:4 2:2 3:500 4:29
-1 1:11 2:2 3:500 4:17
-1 1:14 2:4 3:1000 4:26
1 1:11 2:9 3:2250 4:72
-1 1:11 2:5 3:1250 4:41
-1 1:15 2:16 3:4000 4:82
1 1:9 2:5 3:1250 4:51
-1 1:11 2:4 3:1000 4:34
1 1:14 2:8 3:2000 4:50
-1 1:16 2:7 3:1750 4:38
-1 1:14 2:2 3:500 4:16
-1 1:2 2:2 3:500 4:41
-1 1:14 2:16 3:4000 4:98
1 1:14 2:4 3:1000 4:28
-1 1:16 2:7 3:1750 4:39
-1 1:14 2:7 3:1750 4:47
-1 1:16 2:6 3:1500 4:35
1 1:16 2:6 3:1500 4:35
1 1:11 2:7 3:1750 4:62
-1 1:16 2:2 3:500 4:16
1 1:16 2:3 3:750 4:21
-1 1:11 2:3 3:750 4:28
-1 1:11 2:7 3:1750 4:64
1 1:11 2:1 3:250 4:11
-1 1:9 2:3 3:750 4:34
-1 1:14 2:4 3:1000 4:30
-1 1:23 2:38 3:9500 4:98
-1 1:11 2:6 3:1500 4:58
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:2 3:500 4:21
-1 1:11 2:5 3:1250 4:50
-1 1:11 2:2 3:500 4:21
-1 1:16 2:4 3:1000 4:28
-1 1:4 2:2 3:500 4:41
-1 1:16 2:6 3:1500 4:40
-1 1:14 2:3 3:750 4:26
-1 1:9 2:2 3:500 4:26
-1 1:21 2:16 3:4000 4:64
-1 1:14 2:6 3:1500 4:51
-1 1:11 2:2 3:500 4:24
-1 1:4 2:3 3:750 4:71
-1 1:21 2:13 3:3250 4:57
-1 1:11 2:6 3:1500 4:71
1 1:14 2:2 3:500 4:21
-1 1:23 2:15 3:3750 4:57
-1 1:14 2:4 3:1000 4:38
-1 1:11 2:2 3:500 4:26
1 1:16 2:5 3:1250 4:40
1 1:4 2:2 3:500 4:51
-1 1:14 2:3 3:750 4:31
-1 1:4 2:2 3:500 4:52
-1 1:9 2:4 3:1000 4:65
-1 1:14 2:4 3:1000 4:40
1 1:11 2:3 3:750 4:40
-1 1:14 2:5 3:1250 4:50
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:7 3:1750 4:72
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:9 2:3 3:750 4:52
-1 1:14 2:7 3:1750 4:73
-1 1:11 2:4 3:1000 4:58
-1 1:11 2:4 3:1000 4:59
-1 1:4 2:2 3:500 4:59
-1 1:11 2:4 3:1000 4:61
-1 1:16 2:4 3:1000 4:40
-1 1:16 2:10 3:2500 4:89
1 1:21 2:2 3:500 4:21
-1 1:21 2:3 3:750 4:26
-1 1:16 2:8 3:2000 4:76
1 1:21 2:3 3:750 4:26
-1 1:18 2:2 3:500 4:23
-1 1:23 2:5 3:1250 4:33
-1 1:23 2:8 3:2000 4:46
-1 1:16 2:3 3:750 4:34
-1 1:14 2:5 3:1250 4:64
-1 1:14 2:3 3:750 4:41
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:4 3:1000 4:45
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:2 3:500 4:26
-1 1:21 2:2 3:500 4:23
-1 1:16 2:2 3:500 4:27
-1 1:21 2:2 3:500 4:23
-1 1:21 2:2 3:500 4:23
-1 1:14 2:4 3:1000 4:57
-1 1:16 2:5 3:1250 4:60
-1 1:23 2:2 3:500 4:23
-1 1:14 2:5 3:1250 4:74
-1 1:23 2:3 3:750 4:28
-1 1:16 2:3 3:750 4:40
-1 1:9 2:2 3:500 4:52
-1 1:9 2:2 3:500 4:52
1 1:16 2:7 3:1750 4:87
-1 1:14 2:4 3:1000 4:64
-1 1:14 2:2 3:500 4:35
-1 1:16 2:7 3:1750 4:93
-1 1:21 2:2 3:500 4:25
-1 1:14 2:3 3:750 4:52
-1 1:23 2:14 3:3500 4:93
-1 1:18 2:8 3:2000 4:95
-1 1:16 2:3 3:750 4:46
-1 1:11 2:3 3:750 4:76
-1 1:11 2:2 3:500 4:52
-1 1:11 2:3 3:750 4:76
-1 1:23 2:12 3:3000 4:86
-1 1:21 2:3 3:750 4:35
-1 1:23 2:2 3:500 4:26
-1 1:23 2:2 3:500 4:26
-1 1:23 2:8 3:2000 4:64
-1 1:16 2:3 3:750 4:50
-1 1:23 2:3 3:750 4:33
-1 1:21 2:3 3:750 4:38
-1 1:23 2:2 3:500 4:28
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:1 3:250 4:21
-1 1:21 2:5 3:1250 4:60
-1 1:23 2:4 3:1000 4:45
-1 1:21 2:4 3:1000 4:52
1 1:22 2:1 3:250 4:22
-1 1:11 2:2 3:500 4:70
-1 1:23 2:5 3:1250 4:58
-1 1:23 2:3 3:750 4:40
-1 1:23 2:3 3:750 4:41
-1 1:14 2:3 3:750 4:83
-1 1:21 2:2 3:500 4:35
1 1:26 2:5 3:1250 4:49
-1 1:23 2:6 3:1500 4:70
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:1 3:250 4:23
-1 1:23 2:4 3:1000 4:53
-1 1:21 2:6 3:1500 4:86
-1 1:23 2:3 3:750 4:48
-1 1:21 2:2 3:500 4:41
-1 1:21 2:3 3:750 4:64
-1 1:16 2:2 3:500 4:70
-1 1:21 2:3 3:750 4:70
-1 1:23 2:4 3:1000 4:87
-1 1:23 2:3 3:750 4:89
-1 1:23 2:2 3:500 4:87
-1 1:35 2:3 3:750 4:64
-1 1:38 2:1 3:250 4:38
-1 1:38 2:1 3:250 4:38
-1 1:40 2:1 3:250 4:40
-1 1:74 2:1 3:250 4:74
1 1:2 2:43 3:10750 4:86
1 1:6 2:22 3:5500 4:28
1 1:2 2:34 3:8500 4:77
-1 1:2 2:44 3:11000 4:98
1 2:26 3:6500 4:76
1 1:2 2:41 3:10250 4:98
1 1:3 2:21 3:5250 4:42
-1 1:2 2:11 3:2750 4:23
1 1:2 2:21 3:5250 4:52
1 1:2 2:13 3:3250 4:32
1 1:4 2:4 3:1000 4:4
-1 1:2 2:11 3:2750 4:26
-1 1:2 2:11 3:2750 4:28
-1 1:3 2:14 3:3500 4:35
1 1:4 2:16 3:4000 4:38
-1 1:4 2:6 3:1500 4:14
1 1:3 2:5 3:1250 4:12
1 1:4 2:33 3:8250 4:98
1 1:3 2:10 3:2500 4:33
1 1:4 2:10 3:2500 4:28
1 1:2 2:11 3:2750 4:40
1 1:2 2:11 3:2750 4:41
1 1:4 2:13 3:3250 4:39
1 1:1 2:10 3:2500 4:43
-1 1:4 2:9 3:2250 4:28
-1 1:2 2:4 3:1000 4:11
1 1:2 2:5 3:1250 4:16
-1 1:2 2:15 3:3750 4:64
-1 1:5 2:24 3:6000 4:79
1 1:2 2:6 3:1500 4:22
1 1:4 2:5 3:1250 4:16
1 1:2 2:4 3:1000 4:14
-1 1:4 2:8 3:2000 4:28
-1 1:2 2:4 3:1000 4:14
-1 1:2 2:6 3:1500 4:26
1 1:4 2:5 3:1250 4:16
1 1:2 2:7 3:1750 4:32
1 1:2 2:6 3:1500 4:26
1 1:2 2:8 3:2000 4:38
1 1:2 2:2 3:500 4:4
1 1:2 2:6 3:1500 4:28
-1 1:2 2:10 3:2500 4:52
1 1:4 2:16 3:4000 4:70
1 1:4 2:2 3:500 4:4
-1 1:1 2:14 3:3500 4:95
1 1:4 2:2 3:500 4:4
-1 1:7 2:14 3:3500 4:48
-1 1:2 2:3 3:750 4:11
1 1:2 2:12 3:3000 4:70
1 1:4 2:7 3:1750 4:32
-1 1:4 2:4 3:1000 4:16
1 1:2 2:6 3:1500 4:35
1 1:4 2:6 3:1500 4:28
-1 1:2 2:3 3:750 4:14
-1 1:2 2:4 3:1000 4:23
-1 1:4 2:4 3:1000 4:18
-1 1:5 2:6 3:1500 4:28
-1 1:4 2:6 3:1500 4:30
-1 1:14 2:5 3:1250 4:14
-1 1:3 2:8 3:2000 4:50
1 1:4 2:11 3:2750 4:64
-1 1:4 2:9 3:2250 4:52
1 1:4 2:16 3:4000 4:98
-1 1:7 2:10 3:2500 4:47
-1 1:4 2:14 3:3500 4:86
-1 1:2 2:9 3:2250 4:75
-1 1:4 2:6 3:1500 4:35
-1 1:4 2:9 3:2250 4:55
1 1:4 2:6 3:1500 4:35
-1 1:2 2:6 3:1500 4:45
-1 1:2 2:6 3:1500 4:47
-1 1:4 2:2 3:500 4:9
1 1:2 2:2 3:500 4:11
-1 1:2 2:2 3:500 4:11
1 1:2 2:2 3:500 4:11
1 1:4 2:6 3:1500 4:38
1 1:3 2:4 3:1000 4:29
-1 1:9 2:9 3:2250 4:38
-1 1:11 2:5 3:1250 4:18
-1 1:2 2:3 3:750 4:21
-1 1:2 2:1 3:250 4:2
1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:2 2:1 3:250 4:2
-1 1:11 2:11 3:2750 4:38
-1 1:2 2:3 3:750 4:22
1 1:9 2:11 3:2750 4:49
-1 1:5 2:11 3:2750 4:75
-1 1:3 2:5 3:1250 4:38
1 1:3 2:1 3:250 4:3
-1 1:4 2:6 3:1500 4:43
-1 1:2 2:3 3:750 4:24
-1 1:12 2:11 3:2750 4:39
-1 1:2 2:2 3:500 4:14
-1 1:4 2:6 3:1500 4:46
-1 1:9 2:3 3:750 4:14
-1 1:14 2:8 3:2000 4:26
-1 1:4 2:2 3:500 4:13
-1 1:4 2:11 3:2750 4:95
-1 1:2 2:7 3:1750 4:77
-1 1:2 2:7 3:1750 4:77
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
1 1:4 2:1 3:250 4:4
-1 1:4 2:1 3:250 4:4
-1 1:4 2:7 3:1750 4:62
-1 1:4 2:1 3:250 4:4
1 1:4 2:4 3:1000 4:34
-1 1:11 2:6 3:1500 4:28
1 1:13 2:3 3:750 4:14
-1 1:7 2:5 3:1250 4:35
-1 1:9 2:9 3:2250 4:54
-1 1:11 2:2 3:500 4:11
-1 1:2 2:5 3:1250 4:63
-1 1:7 2:11 3:2750 4:89
-1 1:8 2:9 3:2250 4:64
-1 1:2 2:2 3:500 4:22
-1 1:6 2:3 3:750 4:26
-1 1:12 2:15 3:3750 4:71
-1 1:13 2:3 3:750 4:16
-1 1:11 2:16 3:4000 4:89
-1 1:4 2:5 3:1250 4:58
-1 1:14 2:7 3:1750 4:35
-1 1:11 2:4 3:1000 4:27
1 1:7 2:9 3:2250 4:89
1 1:11 2:8 3:2000 4:52
-1 1:7 2:5 3:1250 4:52
-1 1:11 2:6 3:1500 4:41
-1 1:10 2:5 3:1250 4:38
1 1:14 2:2 3:500 4:14
-1 1:14 2:2 3:500 4:14
-1 1:14 2:2 3:500 4:14
-1 1:2 2:2 3:500 4:33
-1 1:11 2:3 3:750 4:23
-1 1:14 2:8 3:2000 4:46
-1 1:9 2:1 3:250 4:9
-1 1:16 2:5 3:1250 4:27
-1 1:14 2:4 3:1000 4:26
-1 1:4 2:2 3:500 4:30
-1 1:14 2:3 3:750 4:21
-1 1:16 2:16 3:4000 4:77
-1 1:4 2:2 3:500 4:31
-1 1:14 2:8 3:2000 4:50
-1 1:11 2:3 3:750 4:26
-1 1:14 2:7 3:1750 4:45
-1 1:15 2:5 3:1250 4:33
-1 1:16 2:2 3:500 4:16
-1 1:16 2:3 3:750 4:21
-1 1:11 2:8 3:2000 4:72
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
1 1:11 2:1 3:250 4:11
-1 1:11 2:1 3:250 4:11
1 1:2 2:3 3:750 4:75
-1 1:2 2:3 3:750 4:77
-1 1:16 2:4 3:1000 4:28
-1 1:16 2:15 3:3750 4:87
-1 1:16 2:14 3:3500 4:83
-1 1:16 2:10 3:2500 4:62
-1 1:16 2:3 3:750 4:23
-1 1:14 2:3 3:750 4:26
-1 1:23 2:19 3:4750 4:62
-1 1:11 2:7 3:1750 4:75
-1 1:14 2:3 3:750 4:28
1 1:20 2:14 3:3500 4:69
-1 1:4 2:2 3:500 4:46
-1 1:11 2:2 3:500 4:25
-1 1:11 2:3 3:750 4:37
-1 1:16 2:4 3:1000 4:33
-1 1:21 2:7 3:1750 4:38
-1 1:13 2:7 3:1750 4:76
-1 1:16 2:6 3:1500 4:50
-1 1:14 2:3 3:750 4:33
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
-1 1:14 2:1 3:250 4:14
1 1:17 2:7 3:1750 4:58
-1 1:14 2:3 3:750 4:35
-1 1:14 2:3 3:750 4:35
-1 1:16 2:7 3:1750 4:64
-1 1:21 2:2 3:500 4:21
-1 1:16 2:3 3:750 4:35
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:16 2:1 3:250 4:16
-1 1:14 2:2 3:500 4:29
-1 1:11 2:4 3:1000 4:74
1 1:11 2:2 3:500 4:38
-1 1:21 2:6 3:1500 4:48
-1 1:23 2:2 3:500 4:23
-1 1:23 2:6 3:1500 4:45
1 1:14 2:2 3:500 4:35
-1 1:16 2:6 3:1500 4:81
-1 1:16 2:4 3:1000 4:58
-1 1:16 2:5 3:1250 4:71
-1 1:21 2:2 3:500 4:26
-1 1:21 2:3 3:750 4:35
-1 1:21 2:3 3:750 4:35
-1 1:23 2:8 3:2000 4:69
-1 1:21 2:3 3:750 4:38
-1 1:23 2:3 3:750 4:35
-1 1:21 2:3 3:750 4:40
-1 1:23 2:2 3:500 4:28
-1 1:21 2:1 3:250 4:21
